topic_id,user_id,title,created_at
53,57,Topic 53,2023-01-10 11:47:55
54,62,Topic 54,2023-01-11 16:03:49
55,31,Topic 55,2023-01-11 11:03:02
56,18,Topic 56,2023-01-11 11:11:35
57,46,Topic 57,2023-01-11 06:34:01
58,4,Topic 58,2023-01-11 08:30:20
59,49,Topic 59,2023-01-11 11:12:41
60,63,Topic 60,2023-01-11 12:10:58
61,34,Topic 61,2023-01-12 21:47:22
62,13,Topic 62,2023-01-12 07:19:20
63,13,Topic 63,2023-01-12 10:30:18
64,17,Topic 64,2023-01-12 23:56:08
65,39,Topic 65,2023-01-12 18:25:41
66,53,Topic 66,2023-01-13 22:46:45
67,6,Topic 67,2023-01-13 10:14:47
68,47,Topic 68,2023-01-13 18:39:07
69,74,Topic 69,2023-01-13 21:48:08
70,80,Topic 70,2023-01-13 11:29:08
71,41,Topic 71,2023-01-13 04:20:33
72,46,Topic 72,2023-01-13 10:30:44
73,41,Topic 73,2023-01-14 15:50:03
74,80,Topic 74,2023-01-14 04:11:53
75,14,Topic 75,2023-01-14 20:31:46
76,94,Topic 76,2023-01-14 21:28:02
77,75,Topic 77,2023-01-14 15:59:40
78,17,Topic 78,2023-01-14 13:42:24
79,47,Topic 79,2023-01-14 06:41:42
80,24,Topic 80,2023-01-15 06:59:24
81,100,Topic 81,2023-01-15 16:33:56
82,38,Topic 82,2023-01-15 05:35:52
83,20,Topic 83,2023-01-16 13:32:00
84,110,Topic 84,2023-01-16 13:02:38
85,20,Topic 85,2023-01-16 13:14:57
86,21,Topic 86,2023-01-16 08:09:10
87,9,Topic 87,2023-01-16 22:23:54
88,36,Topic 88,2023-01-16 10:00:40
89,66,Topic 89,2023-01-16 07:05:36
90,37,Topic 90,2023-01-17 12:00:15
91,4,Topic 91,2023-01-17 11:57:03
92,20,Topic 92,2023-01-17 19:53:44
93,45,Topic 93,2023-01-17 01:00:09
94,98,Topic 94,2023-01-18 02:48:19
95,90,Topic 95,2023-01-18 18:13:48
96,89,Topic 96,2023-01-18 06:47:01
97,78,Topic 97,2023-01-18 18:34:53
98,53,Topic 98,2023-01-18 08:08:58
99,90,Topic 99,2023-01-18 19:05:08
100,37,Topic 100,2023-01-19 02:47:21
101,70,Topic 101,2023-01-19 00:43:55
102,16,Topic 102,2023-01-19 21:16:16
103,80,Topic 103,2023-01-19 16:07:09
104,22,Topic 104,2023-01-19 15:55:33
105,119,Topic 105,2023-01-20 03:35:29
106,91,Topic 106,2023-01-20 22:20:45
107,8,Topic 107,2023-01-20 18:19:05
108,135,Topic 108,2023-01-20 22:16:38
109,114,Topic 109,2023-01-21 07:37:48
110,23,Topic 110,2023-01-21 05:08:15
111,138,Topic 111,2023-01-21 14:17:36
112,16,Topic 112,2023-01-22 12:56:53
113,90,Topic 113,2023-01-22 14:39:26
114,128,Topic 114,2023-01-22 12:17:49
115,147,Topic 115,2023-01-22 14:35:33
116,57,Topic 116,2023-01-22 21:55:53
117,150,Topic 117,2023-01-22 17:14:45
118,124,Topic 118,2023-01-23 18:29:32
119,72,Topic 119,2023-01-23 11:07:49
120,29,Topic 120,2023-01-23 07:52:14
121,110,Topic 121,2023-01-23 23:35:05
122,131,Topic 122,2023-01-23 08:02:28
123,128,Topic 123,2023-01-23 03:56:40
124,43,Topic 124,2023-01-24 19:09:32
125,10,Topic 125,2023-01-24 05:33:56
126,11,Topic 126,2023-01-24 02:42:35
127,162,Topic 127,2023-01-25 23:58:07
128,72,Topic 128,2023-01-25 10:02:35
129,94,Topic 129,2023-01-25 10:55:26
130,161,Topic 130,2023-01-26 04:18:37
131,151,Topic 131,2023-01-26 18:02:53
132,54,Topic 132,2023-01-26 09:57:50
133,54,Topic 133,2023-01-26 06:17:09
134,121,Topic 134,2023-01-26 17:13:47
135,56,Topic 135,2023-01-26 09:06:11
136,86,Topic 136,2023-01-26 03:47:00
137,100,Topic 137,2023-01-27 09:19:43
138,47,Topic 138,2023-01-27 05:47:54
139,30,Topic 139,2023-01-27 17:09:17
140,41,Topic 140,2023-01-27 04:08:03
141,86,Topic 141,2023-01-27 00:16:02
142,180,Topic 142,2023-01-27 16:58:26
143,194,Topic 143,2023-01-28 14:25:23
144,110,Topic 144,2023-01-28 23:31:46
145,91,Topic 145,2023-01-28 18:36:31
146,34,Topic 146,2023-01-28 06:52:51
147,201,Topic 147,2023-01-29 16:12:26
148,150,Topic 148,2023-01-29 11:20:09
149,42,Topic 149,2023-01-29 02:23:45
150,171,Topic 150,2023-01-29 11:01:35
151,44,Topic 151,2023-01-29 08:33:44
152,48,Topic 152,2023-01-29 17:43:34
153,100,Topic 153,2023-01-29 00:21:19
154,138,Topic 154,2023-01-30 04:48:15
155,78,Topic 155,2023-01-30 18:49:49
156,189,Topic 156,2023-01-30 16:27:05
157,82,Topic 157,2023-01-30 15:25:26
158,197,Topic 158,2023-01-31 19:14:01
159,179,Topic 159,2023-01-31 14:16:24
160,223,Topic 160,2023-01-31 11:37:58
161,10,Topic 161,2023-01-31 14:09:30
